49518,Rwanda
51537,Somalia
69543,Yemen
99237,Iraq
102358,Saudi Arabia
130758,Iran
146669,Cyprus
149590,Tanzania
163843,Syria
174982,Armenia
192950,Kenya
203312,Congo
223816,Djibouti
226074,Uganda
239880,Central African Republic
241170,Seychelles
248816,Hashemite Kingdom of Jordan
272103,Lebanon
285570,Kuwait
286963,Oman
289688,Qatar
290291,Bahrain
290557,United Arab Emirates
294640,Israel
298795,Turkey
337996,Ethiopia
338010,Eritrea
357994,Egypt
366755,Sudan
390903,Greece
433561,Burundi
453733,Estonia
458258,Latvia
587116,Azerbaijan
597427,Republic of Lithuania
607072,Svalbard and Jan Mayen
614540,Georgia
617790,Republic of Moldova
630336,Belarus
660013,Finland
661882,Åland
690791,Ukraine
718075,Macedonia
719819,Hungary
732800,Bulgaria
783754,Albania
798544,Poland
798549,Romania
831053,Kosovo
878675,Zimbabwe
895949,Zambia
921929,Comoros
927384,Malawi
932692,Lesotho
933860,Botswana
934292,Mauritius
934841,Swaziland
935317,Réunion
953987,South Africa
1024031,Mayotte
1036973,Mozambique
1062947,Madagascar
1149361,Afghanistan
1168579,Pakistan
1210997,Bangladesh
1218197,Turkmenistan
1220409,Tajikistan
1227603,Sri Lanka
1252634,Bhutan
1269750,India
1282028,Maldives
1282588,British Indian Ocean Territory
1282988,Nepal
1327865,Myanmar [Burma]
1512440,Uzbekistan
1522867,Kazakhstan
1527747,Kyrgyzstan
1546748,French Southern Territories
1547376,Cocos [Keeling] Islands
1559582,Palau
1562822,Vietnam
1605651,Thailand
1643084,Indonesia
1655842,Laos
1668284,Taiwan
1694008,Philippines
1733045,Malaysia
1814991,China
1819730,Hong Kong
1820814,Brunei
1821275,Macao
1831722,Cambodia
1835841,Republic of Korea
1861060,Japan
1873107,North Korea
1880251,Singapore
1899402,Cook Islands
1966436,East Timor
2017370,Russia
2029969,Mongolia
2077456,Australia
2078138,Christmas Island
2080185,Marshall Islands
2081918,Federated States of Micronesia
2088628,Papua New Guinea
2103350,Solomon Islands
2110297,Tuvalu
2110425,Nauru
2134431,Vanuatu
2139685,New Caledonia
2155115,Norfolk Island
2186224,New Zealand
2205218,Fiji
2215636,Libya
2233387,Cameroon
2245662,Senegal
2260494,Republic of the Congo
2264397,Portugal
2275384,Liberia
2287781,Ivory Coast
2300660,Ghana
2309096,Equatorial Guinea
2328926,Nigeria
2361809,Burkina Faso
2363686,Togo
2372248,Guinea-Bissau
2378080,Mauritania
2395170,Benin
2400553,Gabon
2403846,Sierra Leone
2410758,São Tomé and Príncipe
2411586,Gibraltar
2413451,Gambia
2420477,Guinea
2434508,Chad
2440476,Niger
2453866,Mali
2461445,Western Sahara
2464461,Tunisia
2510769,Spain
2542007,Morocco
2562770,Malta
2589581,Algeria
2622320,Faroe Islands
2623032,Denmark
2629691,Iceland
2635167,United Kingdom
2658434,Switzerland
2661886,Sweden
2750405,Netherlands
2782113,Austria
2802361,Belgium
2921044,Germany
2960313,Luxembourg
2963597,Ireland
2993457,Monaco
3017382,France
3041565,Andorra
3042058,Liechtenstein
3042142,Jersey
3042225,Isle of Man
3042362,Guernsey
3057568,Slovakia
3077311,Czech Republic
3144096,Norway
3164670,Vatican City
3168068,San Marino
3175395,Italy
3190538,Slovenia
3194884,Montenegro
3202326,Croatia
3277605,Bosnia and Herzegovina
3351879,Angola
3355338,Namibia
3370751,Saint Helena
3374084,Barbados
3374766,Cape Verde
3378535,Guyana
3381670,French Guiana
3382998,Suriname
3424932,Saint Pierre and Miquelon
3425505,Greenland
3437598,Paraguay
3439705,Uruguay
3469034,Brazil
3474414,Falkland Islands
3474415,South Georgia and the South Sandwich Islands
3489940,Jamaica
3508796,Dominican Republic
3562981,Cuba
3570311,Martinique
3572887,Bahamas
3573345,Bermuda
3573511,Anguilla
3573591,Trinidad and Tobago
3575174,Saint Kitts and Nevis
3575830,Dominica
3576396,Antigua and Barbuda
3576468,Saint Lucia
3576916,Turks and Caicos Islands
3577279,Aruba
3577718,British Virgin Islands
3577815,Saint Vincent and the Grenadines
3578097,Montserrat
3578421,Saint Martin
3578476,Saint-Barthélemy
3579143,Guadeloupe
3580239,Grenada
3580718,Cayman Islands
3582678,Belize
3585968,El Salvador
3595528,Guatemala
3608932,Honduras
3617476,Nicaragua
3624060,Costa Rica
3625428,Venezuela
3658394,Ecuador
3686110,Colombia
3703430,Panama
3723988,Haiti
3865483,Argentina
3895114,Chile
3923057,Bolivia
3932488,Peru
3996063,Mexico
4030656,French Polynesia
4030699,Pitcairn Islands
4030945,Kiribati
4031074,Tokelau
4032283,Tonga
4034749,Wallis and Futuna
4034894,Samoa
4036232,Niue
4041468,Northern Mariana Islands
4043988,Guam
4566966,Puerto Rico
4796775,U.S. Virgin Islands
5854968,U.S. Minor Outlying Islands
5880801,American Samoa
6251999,Canada
6252001,United States
6254930,Palestine
6255147,
6255148,
6290252,Serbia
6697173,Antarctica
7609695,Sint Maarten
7626836,Curaçao
7626844,Bonaire
7909807,South Sudan
