104.143.19.0/24,49518
105.178.0.0/15,49518
105.21.96.0/19,49518
154.68.64.0/18,49518
196.12.140.0/22,49518
196.12.144.0/22,49518
196.223.12.0/24,49518
196.44.240.0/20,49518
196.49.7.0/24,49518
197.157.128.0/18,49518
197.157.212.0/22,49518
197.234.244.0/22,49518
197.243.0.0/17,49518
41.138.80.0/21,49518
41.186.0.0/16,49518
41.197.0.0/16,49518
41.215.248.0/22,49518
41.216.112.0/21,49518
41.216.120.0/22,49518
41.216.96.0/20,49518
41.222.244.0/22,49518
41.242.140.0/22,49518
41.74.160.0/20,49518
41.77.160.0/22,49518
104.143.203.0/24,51537
104.167.246.0/24,51537
154.118.240.0/22,51537
154.72.24.0/22,51537
154.72.48.0/22,51537
154.73.124.0/22,51537
154.73.24.0/22,51537
154.73.44.0/22,51537
154.73.76.0/22,51537
196.11.62.0/24,51537
197.157.244.0/22,51537
197.220.64.0/19,51537
197.231.200.0/22,51537
217.20.243.1/32,51537
217.20.243.16/28,51537
217.20.243.2/31,51537
217.20.243.32/27,51537
217.20.243.4/30,51537
217.20.243.8/29,51537
41.223.108.0/22,51537
41.78.72.0/22,51537
41.79.196.0/22,51537
45.42.233.0/25,51537
80.78.20.233/32,51537
80.78.20.234/31,51537
80.78.20.236/30,51537
80.78.23.209/32,51537
80.78.23.210/31,51537
80.78.23.212/30,51537
80.78.23.216/32,51537
104.166.113.0/24,69543
109.200.160.0/19,69543
109.74.32.0/20,69543
131.117.160.0/21,69543
155.254.201.0/24,69543
185.11.8.0/22,69543
185.71.132.0/22,69543
185.80.140.0/22,69543
185.80.44.0/22,69543
195.94.0.0/19,69543
198.69.12.0/23,69543
205.160.110.0/23,69543
23.232.255.0/24,69543
31.31.176.0/20,69543
46.243.149.0/24,69543
46.35.64.0/19,69543
5.100.160.0/21,69543
63.168.168.0/23,69543
63.171.18.0/23,69543
63.173.172.0/23,69543
65.162.184.0/23,69543
78.137.64.0/19,69543
81.91.24.0/21,69543
82.114.160.0/19,69543
89.163.199.48/29,69543
89.189.64.0/19,69543
104.222.219.0/24,99237
109.127.64.0/18,99237
109.205.112.0/21,99237
109.224.0.0/18,99237
109.237.192.0/20,99237
109.70.66.0/24,99237
128.65.175.192/28,99237
130.193.128.0/17,99237
130.255.0.0/21,99237
130.255.88.0/21,99237
131.117.224.0/19,99237
146.66.128.0/21,99237
149.255.192.0/18,99237
151.236.160.0/19,99237
155.254.239.0/24,99237
159.255.160.0/21,99237
164.138.232.0/21,99237
175.41.5.0/24,99237
176.241.64.0/21,99237
176.241.80.0/20,99237
176.28.72.0/21,99237
178.17.48.0/20,99237
178.22.32.0/21,99237
185.12.24.0/22,99237
185.14.248.0/22,99237
185.16.24.0/22,99237
185.20.24.0/22,99237
185.21.136.0/22,99237
185.23.152.0/22,99237
185.27.216.0/22,99237
185.32.148.0/22,99237
185.33.44.0/22,99237
185.34.16.0/22,99237
185.37.160.0/22,99237
185.37.88.0/22,99237
185.38.212.0/22,99237
185.39.76.0/22,99237
185.42.192.0/22,99237
185.47.180.0/22,99237
185.51.220.0/22,99237
185.52.100.0/22,99237
185.52.116.0/22,99237
185.54.156.0/22,99237
185.54.164.0/22,99237
185.55.184.0/22,99237
185.56.192.0/22,99237
185.58.12.0/22,99237
185.65.252.0/22,99237
185.69.4.0/22,99237
185.75.96.0/22,99237
185.76.32.0/22,99237
185.80.40.0/22,99237
185.84.68.0/22,99237
185.88.24.0/22,99237
185.89.124.0/22,99237
185.89.88.0/22,99237
185.9.68.0/22,99237
185.90.104.0/22,99237
185.91.16.0/22,99237
185.95.184.0/22,99237
185.95.204.0/22,99237
185.98.24.0/22,99237
188.114.120.0/21,99237
188.72.0.0/18,99237
193.106.196.0/22,99237
194.117.56.0/21,99237
